,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
108,Fvb1,5350001,5400000,50000,*,19486,38511,0.063121561560978,CG,AK_FK
109,Fvb1,5400001,5450000,50000,*,13613,52957,0.0573710514637377,CG,AK_FK
110,Fvb1,5450001,5500000,50000,*,14438,41341,0.0428864811561036,CG,AK_FK
111,Fvb1,5500001,5550000,50000,*,12987,38087,0.0436463433463941,CG,AK_FK
112,Fvb1,5550001,5600000,50000,*,10587,38843,0.026909689443325,CG,AK_FK
113,Fvb1,5600001,5650000,50000,*,11452,36083,0.012811732372338,CG,AK_FK
114,Fvb1,5650001,5700000,50000,*,16626,48512,0.00257231982641348,CG,AK_FK
115,Fvb1,5700001,5750000,50000,*,12756,38656,0.0350626734080753,CG,AK_FK
116,Fvb1,5750001,5800000,50000,*,11434,42584,0.052252308324268,CG,AK_FK
117,Fvb1,5800001,5850000,50000,*,5259,28816,0.0235669751943606,CG,AK_FK
118,Fvb1,5850001,5900000,50000,*,6485,37379,0.0254254394239082,CG,AK_FK
119,Fvb1,5900001,5950000,50000,*,11047,35985,0.0852872277318255,CG,AK_FK
120,Fvb1,5950001,6000000,50000,*,12610,42191,0.0460815244533117,CG,AK_FK
121,Fvb1,6000001,6050000,50000,*,9515,37595,0.0333081492328865,CG,AK_FK
122,Fvb1,6050001,6100000,50000,*,15039,39950,0.107285693896407,CG,AK_FK
123,Fvb1,6100001,6150000,50000,*,10885,41898,0.0516333244958214,CG,AK_FK
124,Fvb1,6150001,6200000,50000,*,11406,34976,0.0455867901234679,CG,AK_FK
125,Fvb1,6200001,6250000,50000,*,14862,37264,0.0481465773210778,CG,AK_FK
126,Fvb1,6250001,6300000,50000,*,8935,40903,0.00901814122486483,CG,AK_FK
127,Fvb1,6300001,6350000,50000,*,9263,32628,0.0636133784066203,CG,AK_FK
128,Fvb1,6350001,6400000,50000,*,14678,35808,0.0828472735356217,CG,AK_FK
129,Fvb1,6400001,6450000,50000,*,6019,52853,0.0143067892024088,CG,AK_FK
130,Fvb1,6450001,6500000,50000,*,15249,40976,0.0471852579342101,CG,AK_FK
131,Fvb1,6500001,6550000,50000,*,8005,31992,0.0246955096302773,CG,AK_FK
132,Fvb1,6550001,6600000,50000,*,11699,45477,0.0155174511126173,CG,AK_FK
133,Fvb1,6600001,6650000,50000,*,9705,36737,0.0567863333915911,CG,AK_FK
134,Fvb1,6650001,6700000,50000,*,11131,48314,0.0169499720291551,CG,AK_FK
135,Fvb1,6700001,6750000,50000,*,9629,37521,0.0510946304407624,CG,AK_FK
136,Fvb1,6750001,6800000,50000,*,14246,39883,0.0279453088254357,CG,AK_FK
137,Fvb1,6800001,6850000,50000,*,9034,58535,0.0228798938165099,CG,AK_FK
138,Fvb1,6850001,6900000,50000,*,11609,42141,0.0406760523149795,CG,AK_FK
139,Fvb1,6900001,6950000,50000,*,9650,33147,0.0516573606515792,CG,AK_FK
140,Fvb1,6950001,7000000,50000,*,12240,39426,0.0348558088746288,CG,AK_FK
141,Fvb1,7000001,7050000,50000,*,7479,35684,0.0392427289382406,CG,AK_FK
142,Fvb1,7050001,7100000,50000,*,9072,31600,0.0847227436321146,CG,AK_FK
143,Fvb1,7100001,7150000,50000,*,11406,42734,0.0352014861720766,CG,AK_FK
144,Fvb1,7150001,7200000,50000,*,7018,46346,0.0149180679867978,CG,AK_FK
145,Fvb1,7200001,7250000,50000,*,7835,38030,0.0170888219802165,CG,AK_FK
146,Fvb1,7250001,7300000,50000,*,10788,41753,0.0689037060900387,CG,AK_FK
147,Fvb1,7300001,7350000,50000,*,12325,46703,0.018903147572716,CG,AK_FK
148,Fvb1,7350001,7400000,50000,*,12286,38196,0.0625616862365083,CG,AK_FK
149,Fvb1,7400001,7450000,50000,*,10812,44005,0.0294074488787351,CG,AK_FK
150,Fvb1,7450001,7500000,50000,*,11286,40554,0.0261177519890729,CG,AK_FK
151,Fvb1,7500001,7550000,50000,*,10193,40377,0.0361215458605003,CG,AK_FK
152,Fvb1,7550001,7600000,50000,*,6044,43426,0.00854835021934444,CG,AK_FK
153,Fvb1,7600001,7650000,50000,*,5996,32554,0.00608134619532846,CG,AK_FK
154,Fvb1,7650001,7700000,50000,*,7858,38837,0.000277194346918974,CG,AK_FK
155,Fvb1,7700001,7750000,50000,*,11076,44590,0.0373436857879113,CG,AK_FK
156,Fvb1,7750001,7800000,50000,*,3409,33989,-0.218789956848743,CG,AK_FK
157,Fvb1,7800001,7850000,50000,*,11718,42927,0.0447115776135199,CG,AK_FK
158,Fvb1,7850001,7900000,50000,*,5248,21589,0.0602260721921071,CG,AK_FK
159,Fvb1,7900001,7950000,50000,*,11863,26522,0.0322145102011501,CG,AK_FK
160,Fvb1,7950001,8000000,50000,*,9435,33090,-0.0202448844305365,CG,AK_FK
161,Fvb1,8000001,8050000,50000,*,7655,46050,0.0307145267922091,CG,AK_FK
162,Fvb1,8050001,8100000,50000,*,10961,37099,-0.0206925389350093,CG,AK_FK
163,Fvb1,8100001,8150000,50000,*,14762,36358,0.0333373169090715,CG,AK_FK
164,Fvb1,8150001,8200000,50000,*,13574,42704,0.046077321337778,CG,AK_FK
165,Fvb1,8200001,8250000,50000,*,11210,29316,0.0360189543621096,CG,AK_FK
166,Fvb1,8250001,8300000,50000,*,12314,40598,0.0480978755362434,CG,AK_FK
167,Fvb1,8300001,8350000,50000,*,10025,20021,0.00861067487970441,CG,AK_FK
168,Fvb1,8350001,8400000,50000,*,19060,30965,0.0446499359766387,CG,AK_FK
169,Fvb1,8400001,8450000,50000,*,5354,34019,-0.0572350772893926,CG,AK_FK
170,Fvb1,8450001,8500000,50000,*,20807,40612,0.0570205221509407,CG,AK_FK
171,Fvb1,8500001,8550000,50000,*,14868,31668,0.134744679176201,CG,AK_FK
172,Fvb1,8550001,8600000,50000,*,13808,28466,0.0424013040131647,CG,AK_FK
173,Fvb1,8600001,8650000,50000,*,7207,28022,-0.0130160884619508,CG,AK_FK
174,Fvb1,8650001,8700000,50000,*,7593,36920,0.0139081485193282,CG,AK_FK
175,Fvb1,8700001,8750000,50000,*,10439,32465,0.022658839495324,CG,AK_FK
176,Fvb1,8750001,8800000,50000,*,9088,29205,0.0646233103593734,CG,AK_FK
177,Fvb1,8800001,8850000,50000,*,6953,42289,0.0380761828026356,CG,AK_FK
