,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb7,context,group
131,Fvb7,6500001,6550000,50000,*,431,26972,-0.0134816038248906,CHG,AL_FL
132,Fvb7,6550001,6600000,50000,*,771,20980,-0.0176753098980848,CHG,AL_FL
133,Fvb7,6600001,6650000,50000,*,6610,21086,-0.019411343539797,CHG,AL_FL
134,Fvb7,6650001,6700000,50000,*,214,4842,0.0125310886381131,CHG,AL_FL
135,Fvb7,6700001,6750000,50000,*,3481,23518,-0.0100317818865322,CHG,AL_FL
136,Fvb7,6750001,6800000,50000,*,2976,24103,-0.0115626049966792,CHG,AL_FL
137,Fvb7,6800001,6850000,50000,*,1621,22278,-0.0208709307329243,CHG,AL_FL
138,Fvb7,6850001,6900000,50000,*,871,25759,-0.0091393000351077,CHG,AL_FL
139,Fvb7,6900001,6950000,50000,*,9991,16672,-0.00343280311540939,CHG,AL_FL
140,Fvb7,6950001,7000000,50000,*,4824,21270,0.0963332253156929,CHG,AL_FL
141,Fvb7,7000001,7050000,50000,*,2612,15182,-0.0196697171423186,CHG,AL_FL
142,Fvb7,7050001,7100000,50000,*,2846,25208,-0.0559280807812613,CHG,AL_FL
143,Fvb7,7100001,7150000,50000,*,3804,18753,-0.130625592376805,CHG,AL_FL
144,Fvb7,7150001,7200000,50000,*,7073,20227,-0.0315402958237297,CHG,AL_FL
145,Fvb7,7200001,7250000,50000,*,8102,20827,0.0529822095881258,CHG,AL_FL
146,Fvb7,7250001,7300000,50000,*,4558,22557,0.181548046582485,CHG,AL_FL
147,Fvb7,7300001,7350000,50000,*,2270,18344,0.00849977746753579,CHG,AL_FL
148,Fvb7,7350001,7400000,50000,*,1941,27894,0.00703922541796488,CHG,AL_FL
149,Fvb7,7400001,7450000,50000,*,3469,22121,0.0172942460029445,CHG,AL_FL
150,Fvb7,7450001,7500000,50000,*,6851,17132,0.0117302855416177,CHG,AL_FL
151,Fvb7,7500001,7550000,50000,*,5500,25518,0.00722791159042505,CHG,AL_FL
152,Fvb7,7550001,7600000,50000,*,2049,33088,0.0107062135615265,CHG,AL_FL
153,Fvb7,7600001,7650000,50000,*,4881,21760,0.02271846030248,CHG,AL_FL
154,Fvb7,7650001,7700000,50000,*,3307,24949,0.0357115782447306,CHG,AL_FL
155,Fvb7,7700001,7750000,50000,*,1759,23171,0.0116107802814066,CHG,AL_FL
156,Fvb7,7750001,7800000,50000,*,1815,25290,-0.00174088349302882,CHG,AL_FL
157,Fvb7,7800001,7850000,50000,*,9616,22844,0.0791964290011873,CHG,AL_FL
158,Fvb7,7850001,7900000,50000,*,4271,24793,0.0155105597358088,CHG,AL_FL
159,Fvb7,7900001,7950000,50000,*,1843,27943,0.0029573311803588,CHG,AL_FL
160,Fvb7,7950001,8000000,50000,*,5543,17302,0.0295557378149206,CHG,AL_FL
161,Fvb7,8000001,8050000,50000,*,2883,20832,0.0757780857897869,CHG,AL_FL
162,Fvb7,8050001,8100000,50000,*,5862,21660,-0.0234708104018451,CHG,AL_FL
163,Fvb7,8100001,8150000,50000,*,2258,13101,0.0604741778977134,CHG,AL_FL
164,Fvb7,8150001,8200000,50000,*,1070,26627,0.0129645559420402,CHG,AL_FL
165,Fvb7,8200001,8250000,50000,*,2906,18370,0.00612476429922199,CHG,AL_FL
166,Fvb7,8250001,8300000,50000,*,1442,21178,0.040572305703793,CHG,AL_FL
167,Fvb7,8300001,8350000,50000,*,1234,27262,0.00638545431410985,CHG,AL_FL
168,Fvb7,8350001,8400000,50000,*,6372,19791,-0.00697311842262283,CHG,AL_FL
169,Fvb7,8400001,8450000,50000,*,4565,19083,-0.0204277530574987,CHG,AL_FL
170,Fvb7,8450001,8500000,50000,*,1489,26377,-0.0256817264446354,CHG,AL_FL
171,Fvb7,8500001,8550000,50000,*,3158,20673,0.0281408883679485,CHG,AL_FL
172,Fvb7,8550001,8600000,50000,*,3111,17854,0.0955742343506337,CHG,AL_FL
173,Fvb7,8600001,8650000,50000,*,1758,27372,0.0151792980452776,CHG,AL_FL
174,Fvb7,8650001,8700000,50000,*,3627,17195,0.0651360163121708,CHG,AL_FL
175,Fvb7,8700001,8750000,50000,*,2886,20539,0.00811531616657854,CHG,AL_FL
176,Fvb7,8750001,8800000,50000,*,3263,24367,0.0203172558219768,CHG,AL_FL
177,Fvb7,8800001,8850000,50000,*,5803,22471,0.0881650791497665,CHG,AL_FL
178,Fvb7,8850001,8900000,50000,*,3590,18740,0.0718184167465109,CHG,AL_FL
179,Fvb7,8900001,8950000,50000,*,5237,22381,0.0625818762235816,CHG,AL_FL
180,Fvb7,8950001,9000000,50000,*,2439,27496,0.0255476301336248,CHG,AL_FL
181,Fvb7,9000001,9050000,50000,*,1374,18523,-0.0679515472736346,CHG,AL_FL
