Name;NK0HR1;NK0HR2;NK0HR3;NK42DR1;NK42DR2;NK42DR3;NL0HR1;NL0HR2;NL0HR3;NL42DR1;NL42DR2;NL42DR3
FvH4_1g02460;410;338;350;271;207;338;348;271;244;169;178;230
FvH4_4g21120;3;5;4;13;6;17;0;0;0;0;11;4
FvH4_4g23780;0;0;0;0;0;1;1;3;1;0;0;0
FvH4_7g29360;239;227;216;420;299;403;200;185;171;297;257;364
FvH4_2g03650;141;94;83;114;95;159;11;4;8;20;4;13
FvH4_7g29361;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g53260;179;144;155;88;75;99;218;30;39;104;4;74
FvH4_5g12880;180;206;177;188;119;220;174;32;59;319;57;225
FvH4_5g36830;1364;1193;1146;1371;1352;1627;1056;548;556;1499;966;1623
FvH4_1g14430;1288;1245;1183;2219;2147;2882;92404;94644;92225;34926;58083;55578
FvH4_4g08151;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g10220;4;7;1;4;2;5;3;0;1;9;2;5
FvH4_4g08150;1;1;3;5;2;5;0;0;0;0;0;1
FvH4_4g33130;5927;6337;5578;6715;5694;7325;1659;931;820;1175;946;1575
FvH4_7g17380;62;72;264;61;38;55;735;683;669;84;21;79
FvH4_3g34592;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g34591;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g34590;126;133;122;266;168;277;120;117;65;196;158;230
FvH4_1g02450;1446;1463;1309;2005;1506;2041;1338;1021;885;1183;897;1379
FvH4_1g02451;11;20;9;62;58;66;4;1;0;2;10;4
FvH4_2g15620;6012;5371;5455;8046;6057;8450;5548;3839;3797;5758;3471;7119
FvH4_1g02452;0;0;0;0;0;1;3;0;0;0;0;0
FvH4_6g41280;1265;1076;1051;1777;1313;1832;957;682;602;1503;1127;2023
FvH4_7g30341;15;11;2;7;1;10;37;24;35;35;34;62
FvH4_4g35790;1105;861;785;206;489;364;999;1299;1253;180;172;59
FvH4_5g24850;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24851;19;15;8;24;28;15;8;5;7;5;6;9
FvH4_7g29390;861;789;852;975;987;1192;1133;638;618;1671;1392;2062
FvH4_4g21110;634;625;641;716;561;776;493;530;466;533;479;648
FvH4_4g23770;3477;3070;3071;4447;3244;4099;1771;1810;1593;1906;1872;2575
FvH4_6g28290;140;122;124;168;125;168;32;47;22;48;65;45
FvH4_2g27630;0;0;0;5;1;1;0;0;0;0;2;3
FvH4_2g39610;111;114;102;619;538;489;4;4;5;66;127;110
FvH4_1g14460;49;35;73;20;7;34;26;20;9;2;1;12
FvH4_6g53250;115;151;118;361;271;371;548;474;445;617;588;848
FvH4_4g08140;1817;1641;1604;1720;1406;1806;1462;1256;1123;1605;1549;2194
FvH4_5g12850;0;0;0;1;0;0;1;0;0;1;0;0
FvH4_4g08142;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g08141;7;5;3;3;6;6;9;1;3;1;0;1
FvH4_4g08144;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g08143;5;1;5;3;0;7;2;4;2;4;1;6
FvH4_2g15650;1971;1797;1663;1797;1434;1928;1073;927;835;1325;1051;1722
FvH4_4g11790;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g00870;352;349;309;188;138;187;195;76;75;99;14;82
FvH4_1g26410;0;0;0;1;0;1;0;0;0;0;1;0
FvH4_5g09200;1302;1264;1259;1287;941;1333;880;841;756;609;622;774
FvH4_1g02480;339;329;326;529;458;531;247;216;211;258;264;416
FvH4_1g02481;176;130;131;217;166;231;109;113;94;108;136;137
FvH4_4g33140;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24840;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g23760;475;532;431;612;757;623;207;268;205;329;985;664
FvH4_7g29380;0;0;0;0;0;0;0;0;0;0;1;1
FvH4_2g03670;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g30370;0;0;1;3;1;0;0;0;0;0;0;0
FvH4_2g01010;47;55;34;26;23;20;88;63;59;22;39;15
FvH4_2g27620;902;852;833;1026;1268;978;1507;2671;2565;667;1787;930
FvH4_2g39600;402;370;375;346;281;390;195;207;181;127;88;143
FvH4_7g30371;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g10200;1416;1388;1130;2077;2265;1932;1174;1362;1271;677;2606;1368
FvH4_5g36810;6102;4817;5135;3925;2921;3923;2525;1657;1608;1791;792;1869
FvH4_6g53240;459;387;430;434;567;521;589;1018;868;281;360;458
FvH4_5g12860;3;0;0;0;0;0;0;0;0;0;0;2
