Name;AK0HR1;AK0HR2;AK0HR3;AK42DR1;AK42DR2;AL0HR1;AL0HR2;AL0HR3;AL42DR1;AL42DR2;AL42DR3
FvH4_3g24490;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g03520;28;33;44;9;23;44;22;18;109;145;57
FvH4_5g00390;452;469;408;760;1330;11436;8730;9100;10304;12497;10056
FvH4_5g24360;467;468;424;222;357;214;171;216;131;109;74
FvH4_2g23510;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g36480;375;407;351;477;1000;633;322;406;882;1290;1091
FvH4_1g24391;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g15510;3;8;2;4;5;19;14;12;7;4;4
FvH4_5g38990;543;551;526;229;257;717;482;528;428;446;465
FvH4_2g11530;1;1;1;1;0;0;0;2;0;0;0
FvH4_5g12381;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g12380;299;69;204;11;17;264;172;140;157;170;120
FvH4_5g36330;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g03531;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g03530;708;651;672;465;635;483;329;350;451;414;355
FvH4_7g03533;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g03532;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g23500;423;383;295;494;580;4154;3211;3440;3845;3326;3949
FvH4_5g24350;1695;1516;1487;958;1293;1553;1158;1348;1426;1029;1652
FvH4_3g36470;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g15500;97;84;74;81;72;157;107;114;93;120;183
FvH4_4g03820;6;6;4;2;3;7;6;8;7;4;8
FvH4_4g15808;0;0;0;0;0;0;0;0;0;0;1
FvH4_4g15809;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g15806;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g14930;1962;1691;1833;913;1085;1246;897;938;978;735;859
FvH4_4g15807;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g14931;0;1;0;1;0;0;0;0;0;0;0
FvH4_3g24431;11;6;12;24;16;15;16;22;26;13;20
FvH4_4g15804;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g24430;35;24;27;26;36;49;35;56;46;51;36
FvH4_4g15805;0;1;1;0;2;0;0;0;1;0;0
FvH4_5g38900;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g15802;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g35590;1266;1170;1345;1501;2033;735;596;744;1345;1159;2224
FvH4_4g15803;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g12450;331;284;265;302;357;653;378;406;244;229;258
