Name;FK0HR1;FK0HR2;FK0HR3;FK42DR1;FK42DR2;FK42DR3;FL0HR1;FL0HR2;FL0HR3;FL42DR1;FL42DR2;FL42DR3
FvH4_3g45110;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g09390;77;60;69;75;41;39;228;187;309;358;356;316
FvH4_5g35650;873;878;914;1007;781;688;362;518;413;523;573;541
FvH4_5g11680;99;83;98;150;74;65;959;1657;1075;403;589;399
FvH4_1g15630;204;193;229;146;106;107;79;69;84;64;103;63
FvH4_3g35790;452;387;443;820;587;512;201;135;169;140;145;91
FvH4_4g36970;319;281;320;146;91;97;179;218;292;279;256;275
FvH4_3g33130;126;136;143;72;72;51;83;101;157;69;75;71
FvH4_2g14400;59;63;82;58;36;50;7;3;18;22;3;27
FvH4_5g23670;2977;2902;3123;1803;1904;1712;840;1444;932;1130;1433;1025
FvH4_1g03650;96;75;83;159;119;95;51;113;52;64;108;60
FvH4_3g33131;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g21150;492;452;550;443;382;310;445;474;456;551;741;574
FvH4_4g22350;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g08040;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g11690;1440;1377;1587;1134;947;842;512;563;545;723;1102;701
FvH4_6g54490;1210;1236;1457;1094;792;690;569;1034;717;1282;1462;1337
FvH4_6g54491;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g15620;2903;2757;2789;2078;1732;1497;1186;1428;1350;1582;1958;1589
FvH4_4g36980;265;202;262;120;122;155;15;15;28;4;10;9
FvH4_4g10371;24;23;15;6;14;6;13;4;6;8;1;2
FvH4_4g34320;2;0;0;0;0;0;2;1;0;0;0;0
FvH4_3g33123;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_3g33122;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g33121;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g33120;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g23660;291;325;280;48;69;49;10;13;11;1;7;4
FvH4_4g10370;67;55;74;25;13;14;5;6;10;6;4;1
FvH4_5g21000;84;80;79;131;104;115;49;137;42;264;312;206
FvH4_2g26360;599;560;636;246;242;209;450;563;462;166;331;140
FvH4_7g06770;759;657;690;531;448;472;1570;1517;1824;1062;1079;1029
FvH4_7g04111;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g08100;0;0;0;0;0;0;0;0;0;0;0;0
